"Estado","TipoDelito","SubtipoDelito","Modalidad","BienJuridicoAfectado","Enero","Febrero","Marzo","Abril","Mayo","Junio","Julio","Agosto","Septiembre","Octubre","Noviembre","Diciembre"
"Aguascalientes","Homicidio","Homicidio doloso","Con arma de fuego","La vida y la Integridad corporal",3,6,3,4,6,5,7,3,1,1,3,2
"Aguascalientes","Homicidio","Homicidio doloso","Con arma blanca","La vida y la Integridad corporal",0,1,2,0,2,1,1,1,1,0,1,0
"Aguascalientes","Homicidio","Homicidio doloso","Con otro elemento","La vida y la Integridad corporal",1,2,2,0,3,2,1,2,0,3,1,0
"Aguascalientes","Homicidio","Homicidio doloso","No especificado","La vida y la Integridad corporal",0,0,0,0,0,0,1,0,0,0,0,0
"Aguascalientes","Homicidio","Homicidio culposo","Con arma de fuego","La vida y la Integridad corporal",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Homicidio","Homicidio culposo","Con arma blanca","La vida y la Integridad corporal",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Homicidio","Homicidio culposo","En accidente de tránsito","La vida y la Integridad corporal",11,7,15,17,12,12,13,15,10,10,14,13
"Aguascalientes","Homicidio","Homicidio culposo","Con otro elemento","La vida y la Integridad corporal",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Homicidio","Homicidio culposo","No especificado","La vida y la Integridad corporal",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Lesiones","Lesiones dolosas","Con arma de fuego","La vida y la Integridad corporal",7,7,7,7,9,6,5,4,2,3,3,4
"Aguascalientes","Lesiones","Lesiones dolosas","Con arma blanca","La vida y la Integridad corporal",12,15,14,9,8,11,18,12,12,8,7,17
"Aguascalientes","Lesiones","Lesiones dolosas","Con otro elemento","La vida y la Integridad corporal",211,227,297,248,246,257,233,204,177,207,153,183
"Aguascalientes","Lesiones","Lesiones dolosas","No especificado","La vida y la Integridad corporal",43,47,48,45,22,46,58,69,91,67,57,62
"Aguascalientes","Lesiones","Lesiones culposas","Con arma de fuego","La vida y la Integridad corporal",0,1,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Lesiones","Lesiones culposas","Con arma blanca","La vida y la Integridad corporal",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Lesiones","Lesiones culposas","En accidente de tránsito","La vida y la Integridad corporal",82,63,72,39,38,61,57,47,52,55,52,55
"Aguascalientes","Lesiones","Lesiones culposas","Con otro elemento","La vida y la Integridad corporal",0,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Lesiones","Lesiones culposas","No especificado","La vida y la Integridad corporal",9,7,10,14,9,8,16,25,29,16,18,20
"Aguascalientes","Feminicidio","Feminicidio","Con arma de fuego","La vida y la Integridad corporal",0,0,0,0,0,0,0,0,0,0,1,0
"Aguascalientes","Feminicidio","Feminicidio","Con arma blanca","La vida y la Integridad corporal",1,0,0,0,0,0,0,0,0,0,0,0
"Aguascalientes","Feminicidio","Feminicidio","Con otro elemento","La vida y la Integridad corporal",0,0,0,0,0,0,0,0,0,1,0,0
"Aguascalientes","Feminicidio","Feminicidio","No especificado","La vida y la Integridad corporal",0,0,0,0,0,0,0,0,0,0,0,0
